#Number of observations
320

#Y1	Y2	Delt
73	102	1.74795
65	88	3.67945
55	64	2.06301
67	92	4.89315
78	126	4.28219
84	95	1.75890
72	72	0.86301
57	69	2.26027
63	81	3.76986
68	77	4.76986
76	96	9.69863
82	99	6.07123
74	73	0.76986
54	89	6.77260
78	83	1.89041
55	58	0.82740
91	102	1.77260
85	88	0.90959
179	179	0.57534
70	83	4.88219
72	84	2.77534
89	88	0.10685
45	76	3.76712
70	76	1.76164
78	84	1.84384
57	87	10.95068
77	109	5.97260
82	94	4.76986
112	130	2.76712
72	92	6.07671
70	72	0.82740
76	84	5.96438
66	69	2.01370
89	101	3.84658
68	74	0.78082
83	115	3.76712
71	76	1.83836
70	72	0.87671
82	83	0.82466
59	61	5.07123
85	86	0.89041
80	90	2.86301
91	106	2.76712
57	72	5.78082
83	95	5.78904
49	86	6.00000
85	96	3.66575
83	89	0.76986
60	65	1.80822
58	76	4.88767
78	86	2.78082
70	76	1.84110
55	57	0.94521
69	85	3.75342
64	64	1.90137
83	86	0.87945
54	68	2.95342
84	85	0.76986
48	73	6.77808
110	127	3.27945
74	78	1.65205
88	96	2.13425
82	92	5.00822
70	74	1.95068
79	102	5.77260
79	85	0.93973
96	96	1.28767
76	79	1.75342
81	90	3.08493
78	88	3.87945
147	149	3.83836
65	100	4.89863
116	118	0.47397
73	84	2.84384
68	74	2.87671
77	86	2.81644
89	103	1.75342
72	77	1.75616
63	88	5.15342
56	82	6.07671
86	93	1.76986
79	89	4.66849
77	80	1.73151
81	87	1.55890
115	120	3.86575
74	97	7.89315
128	145	2.25205
94	102	1.76712
97	99	1.76438
62	77	3.86301
96	109	1.66301
72	86	6.06575
86	91	0.76986
72	79	1.84110
58	65	1.19178
88	91	3.99178
81	88	1.76986
92	92	0.45479
67	91	3.75068
86	91	4.83014
86	88	1.74247
73	93	2.64384
78	82	2.63014
68	78	2.90411
80	86	1.83836
88	94	1.75068
60	98	2.72877
77	93	4.96712
76	92	2.76986
91	93	0.31781
77	92	7.77808
52	68	1.83288
100	108	1.76164
98	117	3.96164
64	81	1.72055
77	80	2.85753
87	105	1.76712
87	88	0.75890
106	105	0.39452
103	114	3.83014
76	80	1.77260
83	84	0.12877
75	91	3.67397
68	68	1.77808
75	75	0.12603
68	88	1.90959
65	79	2.79726
58	100	8.85479
91	94	1.73151
75	91	5.77534
74	90	5.80000
60	68	2.86575
62	88	3.79452
85	107	3.06575
70	72	1.93151
92	111	3.39726
126	134	4.00822
53	67	2.72603
83	87	1.76986
70	104	4.39452
68	86	3.76438
67	79	4.78904
89	92	2.78904
81	82	0.01918
68	95	6.75890
73	81	0.78082
56	60	1.84384
60	96	4.95890
83	86	0.80548
83	84	0.44384
131	141	3.01096
83	94	5.00274
88	107	2.27397
77	78	0.49863
71	80	5.79178
65	73	1.95342
95	115	2.34521
71	85	4.85753
75	92	2.01096
72	75	1.81918
64	85	3.76438
74	85	5.78356
73	77	1.94521
133	140	2.26575
73	76	1.72877
71	82	6.77260
51	63	3.22466
68	86	4.89863
85	88	1.76164
77	90	4.65753
69	80	4.77534
72	83	4.76164
77	77	0.79178
63	66	2.87123
76	86	3.82740
101	117	2.78082
84	108	4.76712
80	98	1.75342
93	123	3.76986
67	71	1.93151
83	91	2.85753
81	82	0.76986
60	72	2.01096
107	137	2.63562
70	96	5.79452
80	83	1.00000
78	93	6.65753
75	109	5.03836
92	101	2.21370
55	86	2.72603
61	67	1.27945
54	63	2.07397
109	113	0.67671
76	82	3.86575
92	94	0.40548
67	80	4.84384
57	79	4.88219
88	96	2.35068
75	81	3.88219
83	97	4.77534
60	74	4.84110
52	60	1.03562
80	102	3.78356
66	72	3.67945
81	82	1.77808
68	83	6.06849
87	89	1.80822
81	82	0.76712
66	79	5.79726
56	61	1.94247
59	91	6.06575
70	86	2.87671
99	104	1.72055
75	96	3.86849
77	83	2.86027
87	89	0.47397
52	61	0.89863
54	52	0.14247
81	85	1.90137
72	72	0.66849
50	85	5.77534
81	81	0.95068
72	88	5.79726
127	146	5.28767
74	85	2.89041
101	102	0.88493
53	60	0.81644
85	88	0.57260
52	52	0.23014
60	94	7.13699
51	83	2.86027
60	60	1.13425
88	110	5.78630
78	89	2.88493
75	82	3.79178
88	93	4.83014
88	89	0.78082
65	86	5.78630
78	81	2.00822
69	139	9.86301
73	86	3.78904
71	74	0.88219
91	99	0.80822
56	75	4.18630
67	85	3.86849
74	81	2.77534
74	90	6.05205
109	112	1.75068
84	92	2.87123
66	79	3.72877
80	83	2.85753
79	89	3.84932
42	87	6.06849
49	92	6.06849
96	100	0.79452
82	87	1.83014
64	63	0.23288
61	75	1.77534
84	85	0.78356
99	123	3.86575
83	92	1.84932
76	84	1.83836
68	113	3.87123
59	69	2.75342
92	140	4.73425
84	104	5.78630
73	87	3.78082
72	80	1.19726
94	96	1.79452
130	137	4.29315
88	96	2.76986
72	85	6.07123
80	84	1.85479
118	137	1.29315
75	107	3.66849
78	102	2.74247
82	90	4.98630
101	106	4.85479
77	99	3.39726
81	92	2.77808
74	86	5.80274
57	71	3.89315
56	60	1.78630
66	89	4.89315
58	67	2.00000
67	77	1.77260
57	57	0.02192
118	131	2.79452
82	85	0.76712
92	93	0.75616
59	65	2.16164
81	94	5.69589
65	78	5.77808
77	81	3.67123
79	83	3.79452
76	77	1.71233
86	93	2.07123
74	89	5.78356
74	74	0.77534
81	94	2.76438
65	97	5.06849
