#Number of observations
320  
  
#Y1 Y2 Delt
73 78 1.74795
65 89 3.67945
55 59 2.06301
67 87 4.89315
78 108 4.28219
84 89 1.7589
72 75 0.86301
57 69 2.26027
63 66 3.76986
68 93 4.76986
76 99 9.69863
82 123 6.07123
74 74 0.76986
54 89 6.7726
78 86 1.89041
55 58 0.8274
91 102 1.7726
85 97 0.90959
179 183 0.57534
70 102 4.88219
72 86 2.77534
89 90 0.10685
45 48 3.76712
70 77 1.76164
78 89 1.84384
57 92 10.95068
77 93 5.9726
82 91 4.76986
112 111 2.76712
72 92 6.07671
70 69 0.8274
76 86 5.96438
66 78 2.0137
89 99 3.84658
68 75 0.78082
83 93 3.76712
71 79 1.83836
70 77 0.87671
82 81 0.82466
59 84 5.07123
85 92 0.89041
80 90 2.86301
91 100 2.76712
57 84 5.78082
83 99 5.78904
49 92 6
85 89 3.66575
83 90 0.76986
60 67 1.80822
58 80 4.88767
78 84 2.78082
70 87 1.8411
55 60 0.94521
69 84 3.75342
64 67 1.90137
83 95 0.87945
54 71 2.95342
84 85 0.76986
48 85 6.77808
110 116 3.27945
74 75 1.65205
88 89 2.13425
82 112 5.00822
70 88 1.95068
79 103 5.7726
79 85 0.93973
96 99 1.28767
76 89 1.75342
81 93 3.08493
78 89 3.87945
147 164 3.83836
65 97 4.89863
116 114 0.47397
73 75 2.84384
68 81 2.87671
77 69 2.81644
89 86 1.75342
72 72 1.75616
63 88 5.15342
56 93 6.07671
86 86 1.76986
79 101 4.66849
77 92 1.73151
81 80 1.5589
115 130 3.86575
74 84 7.89315
128 143 2.25205
94 96 1.76712
97 106 1.76438
62 66 3.86301
96 103 1.66301
72 85 6.06575
86 85 0.76986
72 66 1.8411
58 65 1.19178
88 123 3.99178
81 89 1.76986
92 92 0.45479
67 86 3.75068
86 107 4.83014
86 87 1.74247
73 79 2.64384
78 86 2.63014
68 80 2.90411
80 88 1.83836
88 83 1.75068
60 74 2.72877
77 96 4.96712
76 91 2.76986
91 91 0.31781
77 118 7.77808
52 54 1.83288
100 101 1.76164
98 112 3.96164
64 77 1.72055
77 89 2.85753
87 102 1.76712
87 95 0.7589
106 109 0.39452
103 128 3.83014
76 85 1.7726
83 82 0.12877
75 91 3.67397
68 72 1.77808
75 76 0.12603
68 69 1.90959
65 81 2.79726
58 105 8.85479
91 99 1.73151
