"","gamma","alpha","rho","sigma_eps_sq","alpha_tilde","k","Y_inf","obj_fun"
"1",0.919066085905,4.47546023601,0.968393267751,7.65612,4.14485,0.032117,201.474,2044.59
"2",0.289022894983,0.735813295332,0.936423391074,0.0346051,0.276243,0.0656876,161.22,2100.89
"3",0.556707475008,1.16437300741,0.968958682593,0.351676,0.679256,0.0315333,255.374,2097.98
"4",0.426176396232,1.2326365158,0.928892415369,0.118995,0.596428,0.0737624,146.986,2098.61
"5",0.735929721687,2.93404718228,0.94788683629,1.6107,2.21137,0.0535202,162.846,2056.89
"6",0.242012019892,0.494631017384,0.954471147878,0.0205583,0.165236,0.0465979,205.673,2079.19
"7",0.976792982345,4.99643690889,0.98316331783,16.6219,4.89732,0.01698,332.84,2137.75
"8",0.154944827046,0.567561674242,0.925993699169,0.0111267,0.161947,0.0768878,156.676,2119.97
"9",0.603215528575,1.8526468881,0.945658097581,0.612671,1.17189,0.0558742,162.581,2125.44
"10",0.587206211736,1.67240831492,0.950390421926,0.505029,1.03166,0.0508824,175.58,2113.58
"11",0.443811183298,1.29758087052,0.928670042433,0.135246,0.647211,0.0740018,143.902,2087.2
"12",0.362882178407,0.99329811448,0.930102480462,0.0596527,0.430348,0.0724605,149.708,2059.05
"13",0.443184314807,1.00073377302,0.952653978383,0.15153,0.490856,0.0485035,195.774,2144.56
"14",0.178291947701,0.56466297727,0.931075984705,0.0131008,0.169599,0.0714144,156.072,2103.2
"15",0.314844322652,0.734954612116,0.942542620267,0.0406019,0.288854,0.0591741,168.87,2080.74
"16",0.770543124344,3.17194587461,0.952381808449,2.37585,2.49174,0.0487893,170.037,2085.08
"17",0.920314801146,5.24404828869,0.96045505254,9.13087,4.86572,0.0403481,186.648,2092.82
"18",0.218991721315,0.615690771781,0.933134145057,0.0185898,0.201697,0.0692063,154.724,2097.92
"19",0.647951029024,2.24209428316,0.944058399158,0.967712,1.50871,0.0575673,161.548,2143.94
"20",0.802294102727,2.66838703176,0.972237828927,2.87015,2.16859,0.0281548,228.634,2066.59
"21",0.541940108007,1.51671740334,0.945948359796,0.297043,0.876022,0.0555673,170.678,2071.29
"22",0.668572434887,2.12541560664,0.954502314366,1.0991,1.46649,0.0465652,180.296,2131.78
"23",0.371772507469,0.876004051023,0.942829452923,0.071262,0.382845,0.0588699,166.489,2097.64
